day_pt,discovery_joins,invites,vanity_joins,hubs_joins,bot_joins,integration_joins,other_joins,total_joins,interval_start_timestamp
2026-01-29T00:00:00+00:00,2,20,4,0,0,0,5,31,2026-01-29T00:00:00+00:00
2026-02-05T00:00:00+00:00,2,17,2,0,0,0,1,22,2026-02-05T00:00:00+00:00
2026-02-12T00:00:00+00:00,4,16,5,0,0,0,2,27,2026-02-12T00:00:00+00:00
2026-02-19T00:00:00+00:00,1,19,9,0,0,0,0,29,2026-02-19T00:00:00+00:00
2026-02-26T00:00:00+00:00,2,21,2,0,0,0,3,28,2026-02-26T00:00:00+00:00
2026-03-05T00:00:00+00:00,4,25,6,0,0,0,0,35,2026-03-05T00:00:00+00:00
2026-03-12T00:00:00+00:00,3,18,7,0,0,0,1,29,2026-03-12T00:00:00+00:00
2026-03-19T00:00:00+00:00,6,13,8,0,0,0,2,29,2026-03-19T00:00:00+00:00
2026-03-26T00:00:00+00:00,3,19,6,0,0,0,1,29,2026-03-26T00:00:00+00:00
2026-04-02T00:00:00+00:00,1,17,5,0,0,0,2,25,2026-04-02T00:00:00+00:00
2026-04-09T00:00:00+00:00,3,24,2,0,0,0,0,29,2026-04-09T00:00:00+00:00
2026-04-16T00:00:00+00:00,0,12,7,0,0,0,0,19,2026-04-16T00:00:00+00:00
2026-04-23T00:00:00+00:00,5,18,5,0,0,0,0,28,2026-04-23T00:00:00+00:00
2026-04-30T00:00:00+00:00,3,39,2,0,0,0,0,44,2026-04-30T00:00:00+00:00
2026-05-07T00:00:00+00:00,3,38,6,0,0,0,0,47,2026-05-07T00:00:00+00:00
2026-05-14T00:00:00+00:00,3,37,11,0,0,0,1,52,2026-05-14T00:00:00+00:00
2026-05-21T00:00:00+00:00,3,28,7,0,0,0,0,38,2026-05-21T00:00:00+00:00