day_pt,new_members,pct_retained,interval_start_timestamp
2026-01-23T00:00:00+00:00,41,31.70731707317073,2026-01-23T00:00:00+00:00
2026-01-30T00:00:00+00:00,29,51.724137931034484,2026-01-30T00:00:00+00:00
2026-02-06T00:00:00+00:00,22,54.54545454545454,2026-02-06T00:00:00+00:00
2026-02-13T00:00:00+00:00,26,38.46153846153847,2026-02-13T00:00:00+00:00
2026-02-20T00:00:00+00:00,30,43.333333333333336,2026-02-20T00:00:00+00:00
2026-02-27T00:00:00+00:00,32,53.125,2026-02-27T00:00:00+00:00
2026-03-06T00:00:00+00:00,27,37.03703703703704,2026-03-06T00:00:00+00:00
2026-03-13T00:00:00+00:00,32,37.5,2026-03-13T00:00:00+00:00
2026-03-20T00:00:00+00:00,29,51.724137931034484,2026-03-20T00:00:00+00:00
2026-03-27T00:00:00+00:00,29,55.172413793103445,2026-03-27T00:00:00+00:00
2026-04-03T00:00:00+00:00,26,34.61538461538461,2026-04-03T00:00:00+00:00
2026-04-10T00:00:00+00:00,29,27.586206896551722,2026-04-10T00:00:00+00:00
2026-04-17T00:00:00+00:00,20,65,2026-04-17T00:00:00+00:00
2026-04-24T00:00:00+00:00,25,48,2026-04-24T00:00:00+00:00
2026-05-01T00:00:00+00:00,50,44,2026-05-01T00:00:00+00:00
2026-05-08T00:00:00+00:00,47,51.06382978723404,2026-05-08T00:00:00+00:00