interval_start_timestamp,speaking_minutes
2026-01-29T00:00:00+00:00,5
2026-02-05T00:00:00+00:00,14
2026-02-12T00:00:00+00:00,0
2026-02-19T00:00:00+00:00,7
2026-02-26T00:00:00+00:00,397
2026-03-05T00:00:00+00:00,40
2026-03-12T00:00:00+00:00,17
2026-03-19T00:00:00+00:00,1
2026-03-26T00:00:00+00:00,184
2026-04-02T00:00:00+00:00,31
2026-04-09T00:00:00+00:00,24
2026-04-16T00:00:00+00:00,6
2026-04-23T00:00:00+00:00,130
2026-04-30T00:00:00+00:00,38
2026-05-07T00:00:00+00:00,94
2026-05-14T00:00:00+00:00,19
2026-05-21T00:00:00+00:00,565